Tipo,CDA,Product SKU SAP,SKU,Tipo Documento Factu,Numero de Serie,Correl. Serie,Marca,Cantidad C.U,Cantidad C.F,Ingresos en Soles,Fee 1,Importe Total Factura,Ventas Brutas
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,150988,INCA KOLA,133.914,165,1666.44,184.97,2145.24,1818
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,150990,INCA KOLA,4.058,5,57.93,5.61,75.94,64.3559322
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,160877,INCA KOLA,291.026,358.583,3793.82,401.97,4916.23,4166.29661
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,160878,INCA KOLA,21.507,26.5,280.32,29.71,363.25,307.8389831
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,160879,INCA KOLA,40.58,50,504.97,56.05,650.06,550.8983051
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,160880,INCA KOLA,36.522,45,454.48,50.45,585.05,495.8050847
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,160882,INCA KOLA,7.304,9,104.27,10.09,136.74,115.8813559
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,161473,INCA KOLA,294.881,363.333,3844.01,407.3,4981.28,4221.423729
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,161474,INCA KOLA,19.884,24.5,259.15,27.47,335.8,284.5762712
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,161475,INCA KOLA,4.058,5,50.48,5.61,64.96,55.05084746
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,161476,INCA KOLA,43.826,54,545.36,60.53,702.05,594.9576271
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,161477,INCA KOLA,12.174,15,151.5,16.82,195.01,165.2627119
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,161478,INCA KOLA,3.652,4.5,52.16,5.05,68.4,57.96610169
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162424,INCA KOLA,265.562,327.208,3461.86,366.8,4486.05,3801.737288
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162425,INCA KOLA,8.928,11,116.35,12.33,150.76,127.7627119
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162426,INCA KOLA,32.464,40,403.95,44.84,520.01,440.6864407
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162427,INCA KOLA,94.146,116,1171.59,130.04,1508.23,1278.161017
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162429,INCA KOLA,4.058,5,57.92,5.61,75.93,64.34745763
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162884,INCA KOLA,293.698,361.875,3828.62,405.66,4961.32,4204.508475
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162885,INCA KOLA,17.044,21,222.15,23.54,287.86,243.9491525
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162886,INCA KOLA,46.261,57,575.68,63.9,741.09,628.0423729
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162887,INCA KOLA,34.087,42,424.21,47.08,546.1,462.7966102
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,162889,INCA KOLA,6.493,8,92.67,8.97,121.53,102.9915254
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,163904,INCA KOLA,264.886,326.375,3453,365.87,4474.58,3792.016949
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,163905,INCA KOLA,22.319,27.5,290.92,30.83,376.98,319.4745763
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,163906,INCA KOLA,40.58,50,504.96,56.05,650.05,550.8898305
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,163907,INCA KOLA,37.334,46,464.57,51.57,598.06,506.8305085
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,163909,INCA KOLA,5.275,6.5,75.34,7.29,98.81,83.73728814
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,165113,INCA KOLA,253.693,312.583,3307.12,350.41,4285.53,3631.805085
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,165114,INCA KOLA,18.261,22.5,238.01,25.22,308.43,261.3813559
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,165115,INCA KOLA,4.058,5,50.48,5.61,64.96,55.05084746
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,165116,INCA KOLA,63.305,78,787.77,87.44,1014.13,859.4322034
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,165427,INCA KOLA,4.058,5,57.95,5.61,75.98,64.38983051
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147906,INCA KOLA,455.088,363.75,5081.59,628.92,6431.41,5450.347458
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147907,INCA KOLA,25.648,20.5,286.39,35.45,362.45,307.1610169
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147908,INCA KOLA,62.555,50,671,86.45,843.48,714.8135593
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147909,INCA KOLA,171.401,137,1875.53,236.87,2365.7,2004.830508
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147911,INCA KOLA,98.211,78.5,1156.31,135.73,1475.94,1250.79661
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147912,INCA KOLA,5.004,4,58.91,6.92,75.18,63.71186441
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147916,INCA KOLA,3.753,3,41.91,5.19,45.62,38.66101695
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147926,INCA KOLA,4.379,3.5,51.56,6.05,62.78,53.20338983
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,147928,INCA KOLA,2.502,2,29.46,3.46,33.25,28.1779661
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148385,INCA KOLA,483.446,386.417,5398.24,668.11,6832.18,5789.983051
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148386,INCA KOLA,44.414,35.5,495.94,61.38,627.68,531.9322034
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148387,INCA KOLA,16.264,13,174.46,22.48,219.3,185.8474576
